step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.040945081040263,0,0.0,0.8917133800911882,0,0.0
20.0,0,0.0,0.0,13.252733594232453,0,0.0,0.9799331708141792,0,0.0
25.0,0,0.0,0.0,13.423545295449188,0,0.0,0.9927997361493396,0,0.0
30.0,0,0.0,0.0,13.013061101133767,0,0.0,0.9448235398726165,0,0.0
35.0,0,0.0,0.0,13.125359696713929,0,0.0,0.9545482470024104,0,0.0
40.0,0,0.0,0.0,13.48002924280782,0,0.0,0.9691565097024032,0,0.0
45.0,0,0.0,0.0,13.508526223615556,0,0.0,0.9840712905571061,0,0.0
50.0,0,0.0,0.0,13.36139598218388,0,0.0,0.9733062197178509,0,0.0
55.0,0,0.0,0.0,13.033900331938664,0,0.0,0.9517077165753469,0,0.0
60.0,0,0.0,0.0,12.987874479044715,0,0.0,0.9400495505433705,0,0.0
65.0,0,0.0,0.0,13.320207480069948,0,0.0,0.9580815888319764,0,0.0
70.0,0,0.0,0.0,13.283316366034827,0,0.0,0.9488593044584992,0,0.0
75.0,1,3.0,0.21428571428571427,12.309871008191022,1,3.0,0.90363730591159,1,3.0
80.0,1,8.0,0.5714285714285714,12.171835249664543,1,8.0,0.8932527810847435,1,8.0
85.0,2,15.0,0.9375,11.189340646789825,2,15.0,0.8168530845554537,2,15.0
90.0,2,25.0,1.5625,10.40123649469356,2,25.0,0.7571405607879984,2,25.0
95.0,4,42.0,2.1,10.069500148976982,4,42.0,0.7253143509024621,4,42.0
100.0,4,62.0,2.5833333333333335,10.640652907353202,4,62.0,0.7700202753963508,4,62.0
105.0,5,84.0,3.111111111111111,10.782882400771749,5,84.0,0.761712322471287,5,84.0
110.0,6,110.0,3.793103448275862,10.059019345964044,6,110.0,0.7156758765054557,6,110.0
115.0,8,146.0,5.0344827586206895,9.17240953178904,8,146.0,0.6486745813723568,8,146.0
120.0,11,194.0,6.466666666666667,8.605823229896792,11,194.0,0.6056644075982278,11,194.0
125.0,11,249.0,7.323529411764706,9.04768535515297,11,249.0,0.6464810374988498,11,249.0
130.0,11,304.0,8.941176470588236,9.041062480189682,11,304.0,0.6534293691743497,11,304.0
135.0,11,359.0,9.702702702702704,9.218619558169399,11,359.0,0.6575216892529416,11,359.0
140.0,13,418.0,10.45,8.603716624577938,13,418.0,0.6195731276963877,13,418.0
145.0,15,489.0,11.642857142857142,8.332485870459756,15,489.0,0.600023564565161,15,489.0
150.0,16,568.0,12.347826086956522,8.11792369610742,16,568.0,0.5768226995820777,16,568.0
155.0,14,506.0,10.76595744680851,7.188984114286468,14,650.0,0.5153021818397332,14,650.0
160.0,12,461.0,8.865384615384615,7.8560769395769,12,516.0,0.6236853241032035,12,516.0
165.0,13,474.0,8.31578947368421,8.593626633502069,13,581.0,0.6224998610052472,13,581.0
170.0,14,516.0,8.6,9.48248592948554,14,571.0,0.6600978524309472,14,571.0
175.0,14,575.0,8.846153846153847,10.02302134887344,14,640.0,0.673310908413528,14,640.0
180.0,15,648.0,9.126760563380282,9.648997873250194,15,699.0,0.6432492986916083,15,699.0
185.0,21,745.0,10.067567567567568,9.530034412880882,21,796.0,0.6266259448174494,21,796.0
190.0,22,851.0,10.506172839506172,9.55948373091737,22,902.0,0.6250086191613732,22,902.0
195.0,24,967.0,11.244186046511627,9.330982474948627,24,1018.0,0.6127874065136105,24,1018.0
200.0,27,1100.0,12.359550561797754,9.216561991101573,27,1151.0,0.6052157772857503,27,1151.0
205.0,30,1243.0,13.811111111111112,8.712544237791066,30,1294.0,0.5673816321105282,30,1294.0
210.0,32,1402.0,15.23913043478261,8.417231763221837,32,1453.0,0.552799082406731,32,1453.0
215.0,34,1570.0,15.858585858585858,8.291139209204257,34,1621.0,0.5507485654488351,34,1621.0
220.0,33,1488.0,14.446601941747574,7.886186904803182,33,1793.0,0.5236757006808567,33,1793.0
225.0,30,1457.0,14.009615384615385,8.148109349021162,30,1498.0,0.5886605859234512,30,1498.0
230.0,35,1573.0,14.839622641509434,7.954073070946565,35,1659.0,0.5528459698722155,35,1659.0
235.0,39,1722.0,15.375,7.913654279245518,39,1764.0,0.536319536472513,39,1764.0
240.0,41,1899.0,16.093220338983052,7.817778849913649,41,1976.0,0.5158660096395248,41,1976.0
245.0,45,2112.0,17.6,7.758691247581165,45,2113.0,0.5191733115643068,45,2113.0
250.0,46,2338.0,18.555555555555557,8.143267095644708,46,2339.0,0.5299654685503093,46,2339.0
255.0,50,2575.0,19.96124031007752,8.052235602493669,50,2576.0,0.5017739920910599,50,2576.0
260.0,52,2831.0,20.816176470588236,8.160942349738614,52,2832.0,0.5079136459208003,52,2832.0
265.0,55,3096.0,22.114285714285714,7.781451915308864,55,3097.0,0.4831418822088893,55,3097.0
270.0,58,3380.0,23.636363636363637,7.547484936640707,58,3381.0,0.45851517036015416,58,3381.0
275.0,64,3689.0,24.43046357615894,7.511720095850624,64,3690.0,0.4604452582595943,64,3690.0
280.0,66,4013.0,26.22875816993464,7.265933841123985,66,4014.0,0.43844647952568877,66,4014.0
285.0,68,4351.0,27.024844720496894,7.22907885934892,68,4352.0,0.44090111191471426,68,4352.0
