step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.215734051598702,0,0.0,0.9468395627701656,0,0.0
20.0,0,0.0,0.0,12.687330308668244,0,0.0,0.9817769206152478,0,0.0
25.0,0,0.0,0.0,12.54690484889543,0,0.0,0.9717577538310131,0,0.0
30.0,0,0.0,0.0,12.5731611889057,0,0.0,0.9353396425514561,0,0.0
35.0,0,0.0,0.0,12.741825659057591,0,0.0,0.9253546360245772,0,0.0
40.0,0,0.0,0.0,13.37995977458697,0,0.0,0.9856682902963019,0,0.0
45.0,0,0.0,0.0,13.205135047037343,0,0.0,0.963465781722177,0,0.0
50.0,0,0.0,0.0,13.425602583861918,0,0.0,0.9783852412721622,0,0.0
55.0,0,0.0,0.0,12.936465457421736,0,0.0,0.9324345218666311,0,0.0
60.0,0,0.0,0.0,13.243910543692184,0,0.0,0.933755798114778,0,0.0
65.0,0,0.0,0.0,13.688435161425096,0,0.0,0.9577443132279196,0,0.0
70.0,0,0.0,0.0,13.09431441132039,0,0.0,0.9120011973534344,0,0.0
75.0,0,0.0,0.0,12.615772637181381,0,3.0,0.8829295701391152,0,3.0
80.0,1,3.0,0.21428571428571427,12.563398175722394,1,3.0,0.906337558625789,1,3.0
85.0,1,8.0,0.5,12.157788351010051,1,8.0,0.8637277780897967,1,8.0
90.0,2,16.0,1.0,12.035631365419764,2,16.0,0.8411600546297807,2,16.0
95.0,2,26.0,1.3,11.591413126516667,2,26.0,0.8331629469743917,2,26.0
100.0,3,39.0,1.625,11.280585905507161,3,39.0,0.8017141335686245,3,39.0
105.0,4,56.0,2.074074074074074,10.972280000407052,4,56.0,0.7919209413521938,4,56.0
110.0,5,77.0,2.6551724137931036,10.190353721317926,5,77.0,0.7396868308069497,5,77.0
115.0,6,104.0,3.586206896551724,9.541440279970729,6,107.0,0.6931379499101209,6,107.0
120.0,6,134.0,4.466666666666667,9.751562214154859,6,134.0,0.734559175105194,6,134.0
125.0,3,50.0,1.4705882352941178,10.308037146321086,3,161.0,0.7526345163780263,3,161.0
130.0,2,23.0,0.6571428571428571,10.833990445302526,2,36.0,0.8518952271010781,2,36.0
135.0,2,33.0,0.8918918918918919,11.619891948356491,2,33.0,0.90601180225682,2,33.0
140.0,2,43.0,1.075,12.019339059992124,2,43.0,0.8855802579276649,2,43.0
145.0,3,56.0,1.3658536585365855,12.183734175644192,3,56.0,0.8689344629769706,3,56.0
150.0,4,74.0,1.6444444444444444,11.957776362561598,4,74.0,0.8422620677077327,4,74.0
155.0,5,95.0,2.0652173913043477,11.475166401614855,5,95.0,0.7835494276762814,5,95.0
160.0,7,128.0,2.5098039215686274,11.144060954236243,7,128.0,0.7632481564984978,7,128.0
165.0,6,119.0,2.1636363636363636,10.467542029783393,6,164.0,0.6984594468025005,6,164.0
170.0,12,165.0,2.8947368421052633,10.21781088696503,12,165.0,0.6933314122745979,12,165.0
175.0,9,158.0,2.5901639344262297,10.272622381044753,9,222.0,0.6972516805391069,9,222.0
180.0,9,181.0,2.742424242424242,10.682797026949746,9,181.0,0.7776461936104052,9,181.0
185.0,5,163.0,2.36231884057971,11.167531495542736,5,222.0,0.792644387283303,5,222.0
190.0,4,156.0,2.136986301369863,11.374139810925854,4,156.0,0.8581672285598693,4,156.0
195.0,5,178.0,2.3421052631578947,11.651822329279234,5,178.0,0.8661828816225212,5,178.0
200.0,4,186.0,2.3846153846153846,11.412501260694983,4,204.0,0.8034838056751473,4,204.0
205.0,5,207.0,2.6202531645569622,11.975608971949491,5,207.0,0.8729493501666482,5,207.0
210.0,4,223.0,2.7875,11.91822554940066,4,231.0,0.8460442790541994,4,231.0
215.0,8,253.0,2.941860465116279,11.47637784400523,8,253.0,0.7943366534517055,8,253.0
220.0,8,275.0,2.925531914893617,11.287301810743424,8,300.0,0.7630273554070482,8,300.0
225.0,7,308.0,3.142857142857143,11.39049143504838,7,308.0,0.8228286273472587,7,308.0
230.0,8,335.0,3.284313725490196,11.152657966795314,8,345.0,0.7714079693324277,8,345.0
235.0,12,390.0,3.6448598130841123,11.146373873803238,12,390.0,0.7619722018594395,12,390.0
240.0,11,414.0,3.663716814159292,10.86588552124015,11,456.0,0.7078880556492553,11,456.0
245.0,10,437.0,3.9017857142857144,10.98513430832726,10,439.0,0.7908819637766864,10,439.0
250.0,11,489.0,4.252173913043478,10.924848513819763,11,489.0,0.7756772029145088,11,489.0
255.0,13,549.0,4.815789473684211,11.13572931866601,13,549.0,0.7586360731561439,13,549.0
260.0,15,623.0,5.3247863247863245,11.50306349104056,15,623.0,0.7677017963511389,15,623.0
265.0,15,698.0,5.915254237288136,11.538312575707257,15,698.0,0.7742971372235055,15,698.0
270.0,15,773.0,6.441666666666666,11.202176609755972,15,773.0,0.7310926182658098,15,773.0
275.0,23,874.0,6.992,10.90065933955902,23,874.0,0.6945762749804608,23,874.0
280.0,18,813.0,6.4523809523809526,10.47439565161454,18,986.0,0.6617318396071504,18,986.0
285.0,14,785.0,6.038461538461538,10.253052429848536,14,803.0,0.711596932753999,14,803.0
290.0,18,857.0,6.255474452554744,10.198314807219385,18,896.0,0.6885845373950575,18,896.0
