step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.909494487161282,0,0.0,0.8256775597070912,0,0.0
20.0,0,0.0,0.0,14.207231708622718,0,0.0,0.9807437760879127,0,0.0
25.0,0,0.0,0.0,14.288367615716712,0,0.0,0.9873841755518291,0,0.0
30.0,0,0.0,0.0,13.545737837748412,0,0.0,0.9369043168712928,0,0.0
35.0,0,0.0,0.0,13.334106482066213,0,0.0,0.9090063529038956,0,0.0
40.0,0,0.0,0.0,14.12104257505499,0,0.0,0.9696901455224769,0,0.0
45.0,0,0.0,0.0,13.983267524922049,0,0.0,0.9489583615494332,0,0.0
50.0,0,0.0,0.0,14.486083084354474,0,0.0,0.9806156469270332,0,0.0
55.0,0,0.0,0.0,13.747420010394059,0,0.0,0.9283905899771541,0,0.0
60.0,0,0.0,0.0,13.896943799520304,0,0.0,0.9558323932909267,0,0.0
65.0,0,0.0,0.0,13.09673598605116,0,0.0,0.915851826360349,0,0.0
70.0,2,6.0,0.5,11.722950862657244,2,6.0,0.8180632383981146,2,6.0
75.0,2,16.0,1.1428571428571428,11.86992460305331,2,16.0,0.8154328867789825,2,16.0
80.0,2,26.0,1.8571428571428572,11.993570331800225,2,26.0,0.8209456372507019,2,26.0
85.0,3,38.0,2.375,10.35515405181939,3,38.0,0.724312552617122,3,38.0
90.0,4,57.0,3.5625,10.174748524501908,4,57.0,0.7131216229289341,4,57.0
95.0,6,80.0,4.2105263157894735,8.979887648158622,6,80.0,0.6413896458591575,6,80.0
100.0,6,110.0,4.583333333333333,9.326866691096997,6,110.0,0.6807733621694347,6,110.0
105.0,7,143.0,5.296296296296297,9.734732477516543,7,143.0,0.709446659264554,7,143.0
110.0,7,178.0,6.137931034482759,9.475367858579261,7,178.0,0.688764988694928,7,178.0
115.0,10,221.0,7.620689655172414,8.81344341708808,10,221.0,0.6425627783994821,10,221.0
120.0,10,271.0,9.033333333333333,8.583377458919419,10,271.0,0.6309350882648418,10,271.0
125.0,12,326.0,9.588235294117647,8.34135756293411,12,326.0,0.6015157076981862,12,326.0
130.0,13,390.0,11.142857142857142,8.419811506611337,13,390.0,0.5996055492757465,13,390.0
135.0,13,455.0,11.973684210526315,8.88226990571159,13,455.0,0.6364770916731439,13,455.0
140.0,13,520.0,12.682926829268293,8.734543236345718,13,520.0,0.6277311208668614,13,520.0
145.0,14,590.0,13.720930232558139,8.809540186309798,14,590.0,0.6367715801688,14,590.0
150.0,14,660.0,14.042553191489361,8.266496120295322,14,660.0,0.59442451493712,14,660.0
155.0,18,748.0,15.583333333333334,7.914919269164362,18,748.0,0.5659476275081168,18,748.0
160.0,21,846.0,15.666666666666666,7.263812819152594,21,846.0,0.5123739665141933,21,846.0
165.0,27,971.0,16.74137931034483,7.097449554130258,27,971.0,0.4940337787309504,27,971.0
170.0,27,1106.0,18.131147540983605,7.482834383452984,27,1106.0,0.5190642631726698,27,1106.0
175.0,28,1243.0,19.123076923076923,7.120099965021752,28,1243.0,0.5012394113115161,28,1243.0
180.0,31,1395.0,19.928571428571427,7.42308718494742,31,1395.0,0.5285962257437867,31,1395.0
185.0,32,1551.0,20.95945945945946,7.3973241280788,32,1551.0,0.5264112506503592,32,1551.0
190.0,35,1718.0,21.209876543209877,7.369633617828314,35,1718.0,0.5226225303964214,35,1718.0
195.0,31,1414.0,16.441860465116278,7.454723118407674,31,1894.0,0.5351006119932762,31,1894.0
200.0,23,1216.0,13.662921348314606,8.071247085145194,23,1341.0,0.6214182643099692,23,1341.0
205.0,28,1339.0,14.877777777777778,8.005351638424818,28,1464.0,0.5730068249583871,28,1464.0
210.0,32,1494.0,16.06451612903226,8.127370388870908,32,1619.0,0.5416620892615274,32,1619.0
215.0,38,1670.0,16.7,7.913242636691404,38,1795.0,0.5180132727235235,38,1795.0
220.0,35,1799.0,16.813084112149532,7.792984334344492,35,1988.0,0.5151608363482599,35,1988.0
225.0,31,1896.0,17.08108108108108,7.911712106963164,31,1909.0,0.5587880501380424,31,1909.0
230.0,35,2050.0,17.521367521367523,8.249432429679098,35,2071.0,0.5632550612119521,35,2071.0
235.0,37,2227.0,17.95967741935484,8.493447309823935,37,2240.0,0.5636370054004499,37,2240.0
240.0,43,2434.0,18.723076923076924,8.583189112568425,43,2447.0,0.5449810009170388,43,2447.0
245.0,43,2582.0,19.413533834586467,8.177458996936078,43,2671.0,0.5033633436863375,43,2671.0
250.0,34,2668.0,19.194244604316548,8.422644162533377,34,2708.0,0.5566846168842319,34,2708.0
255.0,41,2850.0,20.070422535211268,8.501835757268806,41,2896.0,0.5330548381403266,41,2896.0
260.0,48,3082.0,21.552447552447553,8.368689280135042,48,3122.0,0.5228060690201229,48,3122.0
265.0,51,3332.0,23.3006993006993,8.123364423040593,51,3372.0,0.5087827269721477,51,3372.0
270.0,52,2702.0,18.506849315068493,7.561263262144244,52,3644.0,0.4601067549673397,52,3644.0
275.0,30,837.0,5.435064935064935,8.034952950417866,30,2199.0,0.5265772993011116,30,2199.0
280.0,35,816.0,5.1645569620253164,8.10043509321501,35,2354.0,0.50813066471916,35,2354.0
285.0,49,700.0,4.3478260869565215,7.893163175614186,49,2277.0,0.495113239091554,49,2277.0
