step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
55.0,11,35.0,0.23178807947019867,9.87677022535412,0,3.0,0.6425184859684372,1,12.0,0.4462150058772284,2,2.0,0.7092219248933834,0,4.0,0.8989123026219678,0,0.0,0.9318117761289691,1,1.0,0.4449219443254761,1,10.0,0.8151342859518097,0,0.0,1.0,3,20.0,0.5172363729964212,1,2.0,0.7692452812616839,0,2.0,0.8064356634344655,0,8.0,0.8596613319534125,0,4.0,0.8098644472490395,0,4.0,0.9015216332508403,2,7.0,0.5316362946880812,0,4.0,0.8438724575514678,11,83.0
60.0,28,125.0,0.7961783439490446,8.797324018172663,2,8.0,0.5809452716563416,3,14.0,0.5946529383490636,4,18.0,0.5823127556086365,0,0.0,0.9094129312073448,0,0.0,0.7598433144920402,5,18.0,0.42162979581411775,0,0.0,0.815685038114407,0,0.0,0.8709001033944587,3,35.0,0.6699345367458677,2,11.0,0.5241665454530955,2,5.0,0.6075267889567816,0,2.0,0.38951507335703534,1,5.0,0.7536126333760625,1,5.0,0.5545514132082209,4,22.0,0.5516130951310028,1,6.0,0.7960866273688512,28,149.0
65.0,13,45.0,0.26011560693641617,8.526868848997083,0,5.0,0.6515736975293641,0,8.0,0.698835369431246,0,12.0,0.5105890370700665,0,1.0,0.8648420155386038,4,10.0,0.38430156613589955,1,20.0,0.5688447336485898,1,8.0,0.28870878169486797,0,2.0,0.9533384928054232,0,15.0,0.7885313458778779,0,7.0,0.6105311502626429,0,3.0,0.6180779418350784,4,23.0,0.20276280497910512,2,11.0,0.7965805723133725,0,3.0,0.336848177032038,0,19.0,0.6351783273436526,1,9.0,0.5708794610098425,13,156.0
70.0,22,93.0,0.5027027027027027,9.134076157944714,2,4.0,0.6597373837234871,1,3.0,0.6414846040199774,4,15.0,0.42035397902602,0,3.0,0.8318224151085996,0,13.0,0.48945510767110956,0,2.0,0.8221934593985922,0,8.0,0.8690003513734468,0,2.0,0.8430920164246192,3,7.0,0.6008032593044208,0,4.0,0.8650287562614813,1,9.0,0.8200191958913398,5,48.0,0.6192120317753266,2,5.0,0.4952206707819424,2,12.0,0.5162559293633221,1,4.0,0.5651300976586097,1,12.0,0.7062640509636348,22,151.0
75.0,26,105.0,0.5440414507772021,8.462482010975116,2,9.0,0.5783030519523427,1,9.0,0.3817195399460813,5,42.0,0.2883335625598141,0,1.0,0.8736342646752432,2,10.0,0.4921714443146512,2,9.0,0.5019424466644148,0,6.0,0.9099286136735447,0,0.0,0.3556428210579195,1,8.0,0.4457011998104316,1,7.0,0.797438056964445,1,6.0,0.775701574765603,0,38.0,0.6785229962315251,7,29.0,0.21830533701537788,1,15.0,0.6914276558294999,3,13.0,0.38654120326469044,0,6.0,0.8212621651172943,26,208.0
80.0,34,144.0,0.6990291262135923,8.752238739295473,3,18.0,0.572086808206731,3,16.0,0.6834543232145422,2,37.0,0.45565479871343545,0,4.0,0.5873408171153648,0,6.0,0.727106992909491,5,32.0,0.1150924950427553,0,2.0,0.6943413833004844,2,7.0,0.5816560872191127,1,8.0,0.8047689465203074,4,14.0,0.6091503059435308,3,13.0,0.5359807149071143,2,10.0,0.3412825839666876,2,36.0,0.44875161163806104,2,16.0,0.5887191730205498,5,30.0,0.524499462469113,0,2.0,0.7253433423486837,34,251.0
85.0,26,152.0,0.7272727272727273,8.57176269644396,0,10.0,0.583489207247222,0,9.0,0.7618556441412038,2,19.0,0.7461260013620221,0,8.0,0.7811961907867181,0,4.0,0.8794448458212006,5,57.0,0.4630572675090384,4,13.0,0.009194794496924594,0,0.0,0.8798566317964097,2,2.0,0.7796128025789264,0,11.0,0.4070209887905742,1,13.0,0.4887226980780487,2,22.0,0.1922466776375752,1,18.0,0.6423291899736654,3,22.0,0.3148598179289872,6,59.0,0.5238912472844993,0,2.0,0.8547536896792521,26,269.0
90.0,37,268.0,1.3333333333333333,8.516732792611917,4,10.0,0.5873398602726592,1,5.0,0.4863525865119113,1,8.0,0.8109224849587742,0,6.0,0.9035681109669995,0,0.0,0.8290616903105509,5,82.0,0.4569259629716687,0,17.0,0.31472466321530296,0,0.0,0.8729673268100949,3,13.0,0.5859696943976351,2,11.0,0.7435217405082363,1,9.0,0.8217403017517273,5,37.0,0.6130913469273734,1,12.0,0.4831123922137205,6,30.0,0.41566660374656345,8,95.0,0.3570951653003311,0,2.0,0.2887700443241896,37,337.0
95.0,37,137.0,0.6523809523809524,7.689988004133472,5,31.0,0.5675287640982414,0,4.0,0.5967821750449658,3,13.0,0.27803451174611643,0,2.0,0.8347647318196729,2,4.0,0.7026372582349456,2,63.0,0.10049250222657886,0,8.0,0.765181446105386,1,1.0,0.4678244512983955,2,11.0,0.3950233950208455,0,2.0,0.7950228371688317,2,8.0,0.7535188547991265,0,32.0,0.6834985352457166,7,40.0,0.38813278474268614,2,39.0,0.6019056831763179,6,92.0,0.2626654092040749,5,23.0,0.1289479471134238,37,373.0
100.0,40,199.0,0.8963963963963963,8.133109583640172,2,27.0,0.4950309718270441,1,6.0,0.5871903801007448,6,45.0,0.11926327944699086,1,4.0,0.6465616362346379,4,20.0,0.5280170499765819,0,8.0,0.3637209048721717,0,8.0,0.8880288200287272,4,18.0,0.2174905408811931,3,20.0,0.6741244264379861,3,8.0,0.5646802969840135,3,16.0,0.6606823836333594,1,8.0,0.3217197083527303,2,44.0,0.44956421054439755,1,5.0,0.4112560248528059,2,23.0,0.5949981273409636,7,59.0,0.5451035028302762,40,319.0
