step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.849560861068312,0,0.0,0.893908303476591,0,0.0
20.0,0,0.0,0.0,13.029166160528742,0,0.0,0.9832077651498745,0,0.0
25.0,0,0.0,0.0,12.971661453920145,0,0.0,0.9788959647239004,0,0.0
30.0,0,0.0,0.0,12.74618196341843,0,0.0,0.9167407480729185,0,0.0
35.0,0,0.0,0.0,13.131423248194109,0,0.0,0.9749239275918935,0,0.0
40.0,0,0.0,0.0,13.201721479218042,0,0.0,0.9790620293607191,0,0.0
45.0,0,0.0,0.0,13.013324461432681,0,0.0,0.9469493188097481,0,0.0
50.0,0,0.0,0.0,13.468900347284377,0,0.0,0.9768585683067955,0,0.0
55.0,0,0.0,0.0,13.018285921076796,0,0.0,0.941769663670385,0,0.0
60.0,0,0.0,0.0,13.185193012628144,0,0.0,0.950800419303927,0,0.0
65.0,0,0.0,0.0,13.359625949255332,0,0.0,0.9683288550168254,0,0.0
70.0,0,0.0,0.0,12.721806032716872,0,0.0,0.9196705052409944,0,0.0
75.0,1,2.0,0.14285714285714285,11.478109847894464,1,5.0,0.832360645683336,1,5.0
80.0,1,7.0,0.5,11.946676796593678,1,7.0,0.9005180887020443,1,7.0
85.0,0,0.0,0.0,12.032079616161742,0,11.0,0.8744460119239877,0,11.0
90.0,0,0.0,0.0,12.876386569775335,0,0.0,0.9682614586930133,0,0.0
95.0,0,0.0,0.0,11.627370472156397,0,0.0,0.8674746401633533,0,0.0
100.0,2,6.0,0.25,11.756067631893048,2,6.0,0.8348701651238617,2,6.0
105.0,0,0.0,0.0,12.451360989673898,0,14.0,0.8839049869705077,0,14.0
110.0,0,0.0,0.0,11.857965626463951,0,0.0,0.9026237528540957,0,0.0
115.0,1,3.0,0.10344827586206896,12.031050649607481,1,3.0,0.9023730178020595,1,3.0
120.0,2,10.0,0.3333333333333333,11.964429634977346,2,13.0,0.8510370844997239,2,13.0
125.0,1,13.0,0.38235294117647056,11.789994742596855,1,13.0,0.8663745335569192,1,13.0
130.0,2,20.0,0.5882352941176471,11.82192168630537,2,23.0,0.8505973848251499,2,23.0
135.0,2,30.0,0.8108108108108109,11.63856857177571,2,30.0,0.845157290048878,2,30.0
140.0,4,46.0,1.15,11.485851172461846,4,46.0,0.8038630137733647,4,46.0
145.0,5,71.0,1.7317073170731707,11.522221938695967,5,71.0,0.7976816926487611,5,71.0
150.0,6,97.0,2.1555555555555554,11.080756353742208,6,97.0,0.7766369119378198,6,97.0
155.0,7,130.0,2.888888888888889,11.05386850971337,7,130.0,0.7683581711824378,7,130.0
160.0,9,169.0,3.3137254901960786,10.603738301768816,9,169.0,0.7069969610695647,9,169.0
165.0,5,127.0,2.3518518518518516,10.95339150864305,5,210.0,0.7480456665118542,5,210.0
170.0,5,152.0,2.7142857142857144,11.140951860702378,5,152.0,0.8338760049613997,5,152.0
175.0,6,179.0,3.086206896551724,11.357870490698955,6,179.0,0.826485297546508,6,179.0
180.0,6,209.0,3.3174603174603177,11.708535769442168,6,209.0,0.8300533840486629,6,209.0
185.0,7,242.0,3.6666666666666665,11.375220289872225,7,242.0,0.79428214278322,7,242.0
190.0,10,288.0,4.0,11.07785002129692,10,288.0,0.7679698673255485,10,288.0
195.0,12,340.0,4.533333333333333,11.007317643658869,12,340.0,0.7687115764116836,12,340.0
200.0,9,322.0,4.128205128205129,10.421195146959073,9,398.0,0.7165664415466091,9,398.0
205.0,7,338.0,4.333333333333333,10.628242539944392,7,346.0,0.7979279464576045,7,346.0
210.0,7,358.0,4.475,10.248574694841944,7,387.0,0.7329704728635971,7,387.0
215.0,10,406.0,4.666666666666667,10.541305722287131,10,414.0,0.7773513499241139,10,414.0
220.0,10,456.0,4.903225806451613,11.057048357596173,10,464.0,0.8045860508717277,10,464.0
225.0,12,513.0,5.576086956521739,10.959496539752628,12,521.0,0.7785167314924762,12,521.0
230.0,13,575.0,5.86734693877551,11.149169485419412,13,583.0,0.7649609696514803,13,583.0
235.0,8,529.0,5.086538461538462,11.108105408968449,8,608.0,0.7671971416948029,8,608.0
240.0,13,584.0,5.457943925233645,10.806777668178745,13,584.0,0.7676131968351652,13,584.0
245.0,14,636.0,5.834862385321101,10.38248380996863,14,657.0,0.6990717693798488,14,657.0
250.0,11,672.0,5.793103448275862,10.613871616675983,11,683.0,0.7413756205982824,11,683.0
255.0,13,737.0,6.299145299145299,11.083402487019253,13,740.0,0.7697772902864534,13,740.0
260.0,14,807.0,6.508064516129032,11.468126744835686,14,807.0,0.7715169606521636,14,807.0
265.0,14,877.0,6.8515625,11.805723874419098,14,877.0,0.7843034342067535,14,877.0
270.0,15,948.0,7.464566929133858,11.559720373115866,15,948.0,0.7632695324018957,15,948.0
275.0,18,1030.0,7.862595419847328,11.208884653047608,18,1030.0,0.7290611225547248,18,1030.0
280.0,20,1129.0,8.425373134328359,10.981956319815575,20,1129.0,0.6930926558603315,20,1129.0
285.0,26,1245.0,9.154411764705882,10.536937245143873,26,1245.0,0.6475001342950649,26,1245.0
290.0,31,1395.0,10.035971223021583,10.44878017882501,31,1395.0,0.6415751929947798,31,1395.0
