step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.847032177844085,0,0.0,0.8652404071702084,0,0.0
20.0,0,0.0,0.0,13.472895566011744,0,0.0,0.9763711060731013,0,0.0
25.0,0,0.0,0.0,13.530062618361285,0,0.0,0.9828663343509398,0,0.0
30.0,0,0.0,0.0,13.161150072265704,0,0.0,0.963237011114753,0,0.0
35.0,0,0.0,0.0,12.9139234203842,0,0.0,0.9443664873143941,0,0.0
40.0,0,0.0,0.0,13.285105398556604,0,0.0,0.9620684240892492,0,0.0
45.0,0,0.0,0.0,13.403285459070416,0,0.0,0.9772202296418772,0,0.0
50.0,0,0.0,0.0,13.4457513841491,0,0.0,0.9801730573014099,0,0.0
55.0,0,0.0,0.0,12.834406027592259,0,0.0,0.9559082475451945,0,0.0
60.0,0,0.0,0.0,12.671105223106931,0,0.0,0.9529930875307221,0,0.0
65.0,1,1.0,0.08333333333333333,11.561097529663423,1,1.0,0.8854733339651383,1,1.0
70.0,1,6.0,0.5,11.770567048316929,1,6.0,0.9006054767743935,1,6.0
75.0,1,11.0,0.7857142857142857,11.47937697017794,1,11.0,0.8683816485045373,1,11.0
80.0,2,20.0,1.4285714285714286,11.122842707269273,2,20.0,0.839028712213357,2,20.0
85.0,2,30.0,1.875,10.52909263599,2,30.0,0.7897395316942029,2,30.0
90.0,3,44.0,2.75,9.479923249705648,3,44.0,0.713968197245861,3,44.0
95.0,5,67.0,3.35,9.270739309231189,5,67.0,0.706238589623711,5,67.0
100.0,5,92.0,3.8333333333333335,9.66478213217684,5,92.0,0.7221233470685512,5,92.0
105.0,6,121.0,4.481481481481482,10.028532837794566,6,121.0,0.7396105831858025,6,121.0
110.0,6,151.0,5.206896551724138,10.045684888442146,6,151.0,0.7406510900168036,6,151.0
115.0,8,185.0,6.379310344827586,9.424667926587578,8,185.0,0.6929192619018694,8,185.0
120.0,10,229.0,7.633333333333334,8.845443900808815,10,229.0,0.6573251733329232,10,229.0
125.0,10,279.0,8.205882352941176,8.955876333742843,10,279.0,0.6575714360652956,10,279.0
130.0,11,332.0,9.485714285714286,8.296953040866454,11,332.0,0.5949953190105595,11,332.0
135.0,13,396.0,10.421052631578947,8.792342133959961,13,396.0,0.6307331054743915,13,396.0
140.0,10,308.0,7.512195121951219,8.538882993522883,10,458.0,0.6052742101438365,10,458.0
145.0,9,296.0,6.883720930232558,9.256801182774938,9,319.0,0.7075956542926651,9,319.0
150.0,9,319.0,6.787234042553192,8.772839997050466,9,365.0,0.6378061055316125,9,365.0
155.0,13,380.0,7.916666666666667,8.648058716326743,13,403.0,0.6086130246354209,13,403.0
160.0,15,437.0,8.092592592592593,8.82239234716245,15,479.0,0.6047877302012862,15,479.0
165.0,17,516.0,8.89655172413793,8.925955007635348,17,539.0,0.603632597482629,17,539.0
170.0,18,605.0,9.918032786885245,8.888838228736624,18,628.0,0.5866756336004058,18,628.0
175.0,20,704.0,10.666666666666666,8.966469065487644,20,727.0,0.5942852296905213,20,727.0
180.0,22,811.0,11.26388888888889,9.069210220763935,22,834.0,0.608180770095643,22,834.0
185.0,23,923.0,12.306666666666667,8.892820987769271,23,946.0,0.5957255466332849,23,946.0
190.0,27,1048.0,12.78048780487805,8.33663837031327,27,1071.0,0.5542955870253746,27,1071.0
195.0,25,696.0,8.0,8.511194889846228,25,1215.0,0.5719781297643327,25,1215.0
200.0,16,496.0,5.511111111111111,9.088024082780686,16,627.0,0.681195472666954,16,627.0
205.0,20,584.0,6.488888888888889,9.1777740147986,20,715.0,0.6471957416077954,20,715.0
210.0,25,703.0,7.988636363636363,9.043383769178606,25,834.0,0.6168402329513397,25,834.0
215.0,28,836.0,8.989247311827956,8.846002491308944,28,967.0,0.5831695870480202,28,967.0
220.0,34,993.0,9.831683168316832,8.623469330448632,34,1124.0,0.5667116354354835,34,1124.0
225.0,36,1170.0,11.142857142857142,8.78345148777731,36,1301.0,0.5760866246847894,36,1301.0
230.0,36,1350.0,12.385321100917432,8.498933565330184,36,1481.0,0.5612462104271858,36,1481.0
235.0,46,1555.0,13.521739130434783,7.993562624804014,46,1686.0,0.5194995344222687,46,1686.0
240.0,49,1791.0,14.680327868852459,7.766872275033585,49,1922.0,0.49973397244354995,49,1922.0
245.0,54,2049.0,16.392,7.416291171887827,54,2180.0,0.4681980196949101,54,2180.0
250.0,53,1770.0,13.511450381679388,7.213319824975159,53,2460.0,0.45176123773731364,53,2460.0
255.0,36,1008.0,7.636363636363637,7.7294562364202415,36,1620.0,0.5275618514949313,36,1620.0
260.0,42,1196.0,8.992481203007518,7.749473109491496,42,1808.0,0.5289298796866841,42,1808.0
265.0,53,1446.0,10.71111111111111,7.800673030210688,53,2058.0,0.5105181891724317,53,2058.0
270.0,59,1724.0,12.402877697841726,7.145956688026089,59,2336.0,0.44230147772951645,59,2336.0
275.0,69,2056.0,13.986394557823129,6.961937647557662,69,2668.0,0.4344400974354886,69,2668.0
280.0,73,2413.0,16.304054054054053,6.562379116797566,73,3025.0,0.4143717138841469,73,3025.0
285.0,73,2640.0,16.81528662420382,6.341996124320118,73,3404.0,0.3998599377924372,73,3404.0
