step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.220928714144975,0,0.0,0.9772051779461601,0,0.0
20.0,0,0.0,0.0,12.363490131362376,0,0.0,0.9888337734482462,0,0.0
25.0,0,0.0,0.0,12.335788353839924,0,0.0,0.9865687667324846,0,0.0
30.0,0,0.0,0.0,12.225552030666703,0,0.0,0.9764237057509217,0,0.0
35.0,0,0.0,0.0,12.195582877482499,0,0.0,0.9584179221457676,0,0.0
40.0,0,0.0,0.0,12.685332445547257,0,0.0,0.9499552423955379,0,0.0
45.0,0,0.0,0.0,12.789803531394952,0,0.0,0.9773413390684969,0,0.0
50.0,0,0.0,0.0,12.886981312676014,0,0.0,0.9846323034096128,0,0.0
55.0,0,0.0,0.0,12.504729897282662,0,0.0,0.9641535274213606,0,0.0
60.0,0,0.0,0.0,12.49098602706781,0,0.0,0.9504577122997961,0,0.0
65.0,0,0.0,0.0,12.795095907139341,0,0.0,0.9655335773326802,0,0.0
70.0,0,0.0,0.0,13.004507065616451,0,0.0,0.9807102392401904,0,0.0
75.0,1,1.0,0.07142857142857142,12.016452891707088,1,1.0,0.8996959047920576,1,1.0
80.0,2,8.0,0.5714285714285714,11.363411110649546,2,8.0,0.8449137563252157,2,8.0
85.0,1,7.0,0.4375,10.882240717413481,1,17.0,0.8131034249216639,1,17.0
90.0,1,12.0,0.75,11.63911144713547,1,12.0,0.8703373377449457,1,12.0
95.0,2,20.0,1.0,11.34651575086082,2,20.0,0.8158986035293916,2,20.0
100.0,2,30.0,1.25,11.81541469987622,2,30.0,0.8472120960629617,2,30.0
105.0,2,40.0,1.4814814814814814,12.150804787142565,2,40.0,0.865787172807535,2,40.0
110.0,2,50.0,1.7241379310344827,12.091779935934143,2,50.0,0.858922072741413,2,50.0
115.0,4,66.0,2.2758620689655173,11.511347928750366,4,66.0,0.8136940857401521,4,66.0
120.0,4,86.0,2.8666666666666667,11.404620126760397,4,86.0,0.8057830298891165,4,86.0
125.0,2,15.0,0.4411764705882353,11.103601714592063,2,106.0,0.7587776917454176,2,106.0
130.0,2,6.0,0.17142857142857143,11.261294038555775,2,10.0,0.8635242306078417,2,10.0
135.0,3,13.0,0.35135135135135137,11.16620437408606,3,22.0,0.8198993294158792,3,22.0
140.0,4,29.0,0.725,11.494888328163404,4,33.0,0.8286673333217275,4,33.0
145.0,3,38.0,0.9047619047619048,11.643205262673611,3,52.0,0.8218328300233491,3,52.0
150.0,4,56.0,1.2173913043478262,11.455101215025696,4,60.0,0.8053141024370715,4,60.0
155.0,5,39.0,0.8666666666666667,10.28219178892282,5,88.0,0.7107263051142172,5,88.0
160.0,8,73.0,1.4038461538461537,10.37827204824685,8,77.0,0.7331624964221193,8,77.0
165.0,5,34.0,0.6296296296296297,10.414618418655781,5,114.0,0.7186104013247514,5,114.0
170.0,3,14.0,0.24561403508771928,11.282730594551593,3,23.0,0.8578292172809188,3,23.0
175.0,5,21.0,0.3442622950819672,11.414237815266217,5,40.0,0.8074110895407939,5,40.0
180.0,6,49.0,0.7313432835820896,11.74766788824788,6,58.0,0.8187098992295434,6,58.0
185.0,4,47.0,0.6811594202898551,12.014222299938988,4,88.0,0.8145790073889758,4,88.0
190.0,6,72.0,0.96,11.91031144935637,6,81.0,0.8386082102039434,6,81.0
195.0,7,104.0,1.3333333333333333,11.643158198083515,7,113.0,0.7970365713648327,7,113.0
200.0,11,152.0,1.9,11.29665750779737,11,161.0,0.7457211109014984,11,161.0
205.0,14,216.0,2.769230769230769,10.824836709341252,14,225.0,0.7078913486977396,14,225.0
210.0,13,272.0,3.3580246913580245,10.536800406705368,13,301.0,0.691587078729121,13,301.0
215.0,13,333.0,3.8275862068965516,10.664465310511025,13,342.0,0.7431152785898661,13,342.0
220.0,14,399.0,4.24468085106383,10.771345425807569,14,408.0,0.7385391316817582,14,408.0
225.0,19,480.0,5.161290322580645,10.192112485006696,19,489.0,0.6878750195080274,19,489.0
230.0,18,541.0,5.577319587628866,10.007469770755842,18,586.0,0.6660163392741588,18,586.0
235.0,16,607.0,5.950980392156863,10.086366500364717,16,620.0,0.7030390038272,16,620.0
240.0,14,360.0,3.364485981308411,10.031035483189282,14,701.0,0.6848903703809613,14,701.0
245.0,11,173.0,1.5727272727272728,10.05518995027354,11,256.0,0.7266827993617319,11,256.0
250.0,17,213.0,1.868421052631579,9.902360694429737,17,329.0,0.6674350011790637,17,329.0
255.0,22,317.0,2.8053097345132745,10.21693426157331,22,401.0,0.6905996242047616,22,401.0
260.0,18,321.0,2.697478991596639,10.221323415805609,18,511.0,0.6631319628776398,18,511.0
265.0,10,267.0,2.1885245901639343,10.632506986323738,10,384.0,0.7646660894119002,10,384.0
270.0,8,214.0,1.712,10.710006821455508,8,434.0,0.73942646084981,8,434.0
275.0,15,234.0,1.786259541984733,10.777344741769015,15,292.0,0.7642894273707757,15,292.0
280.0,19,315.0,2.3684210526315788,10.384055827101204,19,378.0,0.676839709935354,19,378.0
285.0,25,434.0,3.078014184397163,10.54338422563176,25,492.0,0.6849106608045771,25,492.0
290.0,24,459.0,3.1655172413793102,10.147870173886057,24,625.0,0.6304110638732856,24,625.0
