step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.528415244582792,0,0.0,0.9419762774124258,0,0.0
20.0,0,0.0,0.0,12.08221056189588,0,0.0,0.9849551174159399,0,0.0
25.0,0,0.0,0.0,12.09661845291932,0,0.0,0.9863577591785129,0,0.0
30.0,0,0.0,0.0,12.071808750233394,0,0.0,0.9243994437086002,0,0.0
35.0,0,0.0,0.0,12.555686664113399,0,0.0,0.9814470531439545,0,0.0
40.0,0,0.0,0.0,12.719302544894699,0,0.0,0.946813102208443,0,0.0
45.0,0,0.0,0.0,13.155785727622545,0,0.0,0.9721541674661366,0,0.0
50.0,0,0.0,0.0,13.21806087578188,0,0.0,0.9764951115054593,0,0.0
55.0,0,0.0,0.0,12.865449594672004,0,0.0,0.9548253959359234,0,0.0
60.0,0,0.0,0.0,12.821562523736684,0,0.0,0.9535686390923261,0,0.0
65.0,0,0.0,0.0,13.080311876177156,0,0.0,0.9625564752837543,0,0.0
70.0,0,0.0,0.0,13.394207478295924,0,0.0,0.9808718572069887,0,0.0
75.0,1,1.0,0.07142857142857142,12.438379011266292,1,1.0,0.8991969998022513,1,1.0
80.0,1,6.0,0.42857142857142855,12.698066591075477,1,6.0,0.9058002012197227,1,6.0
85.0,0,0.0,0.0,11.374435779928115,0,10.0,0.8165075781930131,0,10.0
90.0,1,4.0,0.25,11.93924653324289,1,4.0,0.9043448264560165,1,4.0
95.0,1,9.0,0.45,11.905971090250784,1,9.0,0.8769791625426928,1,9.0
100.0,1,14.0,0.5833333333333334,12.3606610103566,1,14.0,0.9020978794134721,1,14.0
105.0,1,19.0,0.7037037037037037,12.493635040920458,1,19.0,0.9014757413656035,1,19.0
110.0,2,26.0,0.896551724137931,12.037301907633474,2,26.0,0.8938771113775483,2,26.0
115.0,2,36.0,1.2413793103448276,11.646918605653632,2,36.0,0.8636360796952345,2,36.0
120.0,4,51.0,1.7,11.338949180153069,4,51.0,0.8075687260364018,4,51.0
125.0,4,71.0,2.088235294117647,11.382827983765855,4,71.0,0.7926812960938251,4,71.0
130.0,5,96.0,2.742857142857143,11.013479892850881,5,96.0,0.7573777299985659,5,96.0
135.0,6,126.0,3.4054054054054053,11.119356610070817,6,126.0,0.7749758675081428,6,126.0
140.0,6,156.0,3.9,11.052405407423635,6,156.0,0.7644059456949841,6,156.0
145.0,7,189.0,4.5,10.81346445620529,7,189.0,0.7393044346029195,7,189.0
150.0,8,229.0,5.088888888888889,10.69851074611352,8,229.0,0.7305752039617723,8,229.0
155.0,9,274.0,6.088888888888889,10.697334526309643,9,274.0,0.7158718811507438,9,274.0
160.0,10,324.0,6.352941176470588,10.377725327092568,10,324.0,0.7106162682304991,10,324.0
165.0,11,376.0,6.962962962962963,10.086343891611996,11,376.0,0.6716064900624359,11,376.0
170.0,13,441.0,7.875,10.128520620650777,13,441.0,0.6764572001681393,13,441.0
175.0,14,510.0,8.793103448275861,10.034901727532924,14,510.0,0.6816774852158014,14,510.0
180.0,15,583.0,9.109375,10.146822604823004,15,583.0,0.6770401936500394,15,583.0
185.0,16,660.0,9.850746268656716,10.139471122354493,16,660.0,0.6787734872036377,16,660.0
190.0,17,744.0,10.191780821917808,10.053157767573724,17,744.0,0.6761094874478494,17,744.0
195.0,18,832.0,10.666666666666666,10.092392425776431,18,832.0,0.6860670060263352,18,832.0
200.0,19,925.0,11.419753086419753,9.87913839822408,19,925.0,0.6726243126873437,19,925.0
205.0,21,1030.0,12.716049382716049,9.817010821649088,21,1030.0,0.6653236785149372,21,1030.0
210.0,21,1135.0,13.841463414634147,9.657589384498703,21,1135.0,0.6541084242979067,21,1135.0
215.0,23,1246.0,13.844444444444445,9.31525481130998,23,1246.0,0.6272133405846789,23,1246.0
220.0,28,1378.0,14.354166666666666,9.1993191301026,28,1378.0,0.6242651649799207,28,1378.0
225.0,33,1526.0,15.26,8.655494357596417,33,1526.0,0.5759035040635191,33,1526.0
230.0,38,1706.0,16.403846153846153,7.918198667151515,38,1706.0,0.5160452085354027,38,1706.0
235.0,42,1914.0,17.4,8.01626571684086,42,1914.0,0.534543568681138,42,1914.0
240.0,46,2133.0,18.876106194690266,7.761381763877673,46,2133.0,0.5260602637622632,46,2133.0
245.0,49,2371.0,20.79824561403509,7.455390826557392,49,2371.0,0.49132337718893687,49,2371.0
250.0,51,2622.0,21.85,7.446826920320545,51,2622.0,0.49396752673039046,51,2622.0
255.0,56,2890.0,23.884297520661157,7.275225026924518,56,2890.0,0.4848660112551458,56,2890.0
260.0,58,3175.0,25.1984126984127,7.297273216337501,58,3175.0,0.49202744419189315,58,3175.0
265.0,59,3467.0,26.46564885496183,6.98356003207164,59,3467.0,0.4643597502717442,59,3467.0
270.0,67,3789.0,28.066666666666666,6.513256503861617,67,3789.0,0.421274323768347,67,3789.0
275.0,70,4136.0,29.12676056338028,6.694556468257332,70,4136.0,0.4335758676972938,70,4136.0
280.0,72,4492.0,30.767123287671232,6.697558936986004,72,4492.0,0.42271101944821743,72,4492.0
285.0,78,4868.0,31.406451612903226,6.280646979046655,78,4868.0,0.38989016210620714,78,4868.0
290.0,82,5275.0,32.96875,6.417656326901596,82,5275.0,0.40120416473962744,82,5275.0
