step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.403606524923816,0,0.0,0.7599083865650655,0,0.0
20.0,0,0.0,0.0,14.692699779992623,0,0.0,0.9792914676862117,0,0.0
25.0,0,0.0,0.0,14.863446743580212,0,0.0,0.9905792274672329,0,0.0
30.0,0,0.0,0.0,13.721060220736499,0,0.0,0.9392514585714613,0,0.0
35.0,0,0.0,0.0,13.622128821705473,0,0.0,0.9346481740918763,0,0.0
40.0,0,0.0,0.0,14.08142442163295,0,0.0,0.9753346410670511,0,0.0
45.0,0,0.0,0.0,13.78778523315016,0,0.0,0.9571106659039973,0,0.0
50.0,0,0.0,0.0,14.00549013311332,0,0.0,0.9724734812969112,0,0.0
55.0,0,0.0,0.0,13.41665563348315,0,0.0,0.9415361465751225,0,0.0
60.0,0,0.0,0.0,13.422451563978555,0,0.0,0.945407096815684,0,0.0
65.0,1,1.0,0.08333333333333333,12.339494358375447,1,1.0,0.8808593881149073,1,1.0
70.0,2,8.0,0.6666666666666666,11.449205585497031,2,8.0,0.8183692025190444,2,8.0
75.0,2,18.0,1.2857142857142858,11.528188162216306,2,18.0,0.8114386946252019,2,18.0
80.0,2,28.0,2.0,11.96216422671088,2,28.0,0.8393138709649317,2,28.0
85.0,2,38.0,2.375,10.842721944102285,2,38.0,0.755076380453168,2,38.0
90.0,4,55.0,3.4375,10.403042855698551,4,55.0,0.7239826040405547,4,55.0
95.0,5,76.0,3.8,9.828566382113674,5,76.0,0.6719189857680667,5,76.0
100.0,6,103.0,4.291666666666667,10.0913563960876,6,103.0,0.6905795432196061,6,103.0
105.0,6,133.0,4.925925925925926,10.600956582996991,6,133.0,0.7323204775443336,6,133.0
110.0,7,166.0,5.724137931034483,10.442874929441917,7,166.0,0.7331567823199291,7,166.0
115.0,9,204.0,7.0344827586206895,8.667986175499385,9,204.0,0.6078075167822462,9,204.0
120.0,11,259.0,8.633333333333333,8.629337809519235,11,259.0,0.6036863556711247,11,259.0
125.0,12,316.0,9.294117647058824,8.429550526047093,12,316.0,0.5869848480492611,12,316.0
130.0,9,229.0,6.542857142857143,8.781319366624535,9,376.0,0.6037118823340044,9,376.0
135.0,7,232.0,6.105263157894737,9.381822939693388,7,248.0,0.7106796227094268,7,248.0
140.0,7,108.0,2.6341463414634148,9.608621595592963,7,287.0,0.6942668178362942,7,287.0
145.0,4,52.0,1.2093023255813953,10.268136456408396,4,145.0,0.7391446326590461,4,145.0
150.0,4,72.0,1.5319148936170213,10.982454825885497,4,88.0,0.7856216344833841,4,88.0
155.0,7,100.0,2.0833333333333335,11.18018488932676,7,116.0,0.7528052198334253,7,116.0
160.0,7,135.0,2.4545454545454546,11.584496096115306,7,151.0,0.7710960464510792,7,151.0
165.0,8,171.0,2.9482758620689653,11.533216736874385,8,187.0,0.7532318110001434,8,187.0
170.0,5,112.0,1.8360655737704918,11.396667488298858,5,224.0,0.7559036487588536,5,224.0
175.0,4,126.0,1.9090909090909092,11.531515144896483,4,126.0,0.8411716575703538,4,126.0
180.0,4,146.0,2.056338028169014,11.545362376848397,4,150.0,0.8098951102837324,4,150.0
185.0,5,170.0,2.2972972972972974,12.096130264261244,5,170.0,0.8485391181822277,5,170.0
190.0,5,187.0,2.308641975308642,12.214282259118507,5,196.0,0.8317631788871119,5,196.0
195.0,7,214.0,2.5783132530120483,11.89805314545783,7,214.0,0.8240097569513186,7,214.0
200.0,6,234.0,2.819277108433735,11.671826088207476,6,253.0,0.8136698379319794,6,253.0
205.0,7,257.0,3.2948717948717947,11.589725276772375,7,257.0,0.8474172526245201,7,257.0
210.0,5,269.0,3.448717948717949,11.439283152825652,5,285.0,0.8117159977693135,5,285.0
215.0,6,296.0,3.5238095238095237,11.546671400680301,6,293.0,0.8346810616586647,6,293.0
220.0,7,316.0,3.4347826086956523,11.422421627615986,7,325.0,0.7932679894429399,7,325.0
225.0,12,367.0,3.8229166666666665,11.230700035995538,12,367.0,0.758959470360033,12,367.0
230.0,10,387.0,3.87,10.942249694420623,10,432.0,0.730305071144239,10,432.0
235.0,8,408.0,4.03960396039604,10.921232521833458,8,416.0,0.7835971468370987,8,416.0
240.0,12,453.0,4.273584905660377,10.866669920477088,12,469.0,0.7509577011202602,12,469.0
245.0,16,529.0,4.94392523364486,10.97798015378157,16,537.0,0.7478311415805121,16,537.0
250.0,17,612.0,5.464285714285714,10.723429802965574,17,620.0,0.7078103785504942,17,620.0
255.0,22,715.0,6.383928571428571,10.561802149357245,22,723.0,0.6720641620018206,22,723.0
260.0,26,835.0,7.136752136752137,10.378440550983155,26,843.0,0.663687787154423,26,843.0
265.0,27,970.0,8.016528925619834,10.425459009005742,27,978.0,0.677143051489917,27,978.0
270.0,31,1111.0,9.181818181818182,9.669898761117839,31,1119.0,0.6209804570424469,31,1119.0
275.0,36,1280.0,10.32258064516129,9.42254534090282,36,1288.0,0.5998258255631049,36,1288.0
280.0,38,1465.0,11.535433070866143,9.143273250519833,38,1473.0,0.5634004488037561,38,1473.0
285.0,45,1677.0,12.422222222222222,8.519781200585731,45,1685.0,0.5173213683140334,45,1685.0
290.0,51,1917.0,13.79136690647482,8.363970850454335,51,1925.0,0.5160616447701476,51,1925.0
