step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.695626512053423,0,0.0,0.7646914564357672,0,0.0
20.0,0,0.0,0.0,14.23842048169939,0,0.0,0.9253328412164442,0,0.0
25.0,0,0.0,0.0,15.19297818118645,0,0.0,0.9828349715805809,0,0.0
30.0,0,0.0,0.0,14.160623175524698,0,0.0,0.9430445852628216,0,0.0
35.0,0,0.0,0.0,14.000470942265734,0,0.0,0.9402291679369847,0,0.0
40.0,0,0.0,0.0,14.295438708967495,0,0.0,0.9502452267324948,0,0.0
45.0,0,0.0,0.0,14.406875515299125,0,0.0,0.9800720624403519,0,0.0
50.0,0,0.0,0.0,14.455271627673172,0,0.0,0.9836325234048985,0,0.0
55.0,0,0.0,0.0,13.673311535942918,0,0.0,0.9612722509927288,0,0.0
60.0,0,0.0,0.0,13.463534714365002,0,0.0,0.947278817643162,0,0.0
65.0,0,0.0,0.0,13.615670647177042,0,0.0,0.943134370118046,0,0.0
70.0,1,2.0,0.16666666666666666,12.941328953203959,1,2.0,0.8853341831049331,1,2.0
75.0,1,7.0,0.5,13.098170917260862,1,7.0,0.9011615999200853,1,7.0
80.0,0,0.0,0.0,13.314083795141022,0,11.0,0.9153136099994998,0,11.0
85.0,0,0.0,0.0,12.949712333285605,0,0.0,0.9290975445134234,0,0.0
90.0,1,2.0,0.125,12.969423536727291,1,2.0,0.9036414769760284,1,2.0
95.0,1,7.0,0.35,12.63589972260088,1,7.0,0.8586467831805984,1,7.0
100.0,1,12.0,0.5,13.067195860520073,1,12.0,0.8998046590825988,1,12.0
105.0,2,19.0,0.7037037037037037,12.469789059343912,2,19.0,0.8503836241590331,2,19.0
110.0,3,33.0,1.1785714285714286,11.948829901025999,3,33.0,0.8522013515204914,3,33.0
115.0,2,10.0,0.35714285714285715,11.33514875127382,2,47.0,0.7830251232164652,2,47.0
120.0,2,15.0,0.5172413793103449,11.425383886263154,2,16.0,0.8474079134763364,2,16.0
125.0,3,27.0,0.8181818181818182,11.636421180877838,3,27.0,0.850642418088101,3,27.0
130.0,4,45.0,1.3235294117647058,11.592598722941437,4,45.0,0.8043298085343245,4,45.0
135.0,5,68.0,1.837837837837838,11.670650897258628,5,68.0,0.8007000234219158,5,68.0
140.0,5,93.0,2.4473684210526314,11.5648279759533,5,93.0,0.8131584817032048,5,93.0
145.0,5,118.0,3.0256410256410255,10.967279045415642,5,118.0,0.7587755458142126,5,118.0
150.0,7,153.0,3.558139534883721,10.843922362328096,7,153.0,0.7462828003561833,7,153.0
155.0,8,192.0,4.363636363636363,10.837733316676669,8,192.0,0.7286094709393618,8,192.0
160.0,9,235.0,4.795918367346939,10.58094727440827,9,235.0,0.7153189825310314,9,235.0
165.0,6,187.0,3.5283018867924527,10.82729988443634,6,277.0,0.73372919033458,6,277.0
170.0,7,172.0,3.0714285714285716,10.872131326178286,7,172.0,0.7776187376634613,7,172.0
175.0,7,207.0,3.45,11.437385821283439,7,207.0,0.8052520212371844,7,207.0
180.0,7,242.0,3.723076923076923,11.692129918955585,7,242.0,0.819823416695947,7,242.0
185.0,8,278.0,4.088235294117647,11.718757831910658,8,278.0,0.8010157562681196,8,278.0
190.0,9,322.0,4.535211267605634,11.37049811332944,9,322.0,0.7678160148662567,9,322.0
195.0,14,379.0,5.053333333333334,10.698237255243388,14,379.0,0.7165639444156429,14,379.0
200.0,17,457.0,5.935064935064935,10.421910806533441,17,457.0,0.7061623093794406,17,457.0
205.0,17,542.0,6.948717948717949,10.414166602445652,17,542.0,0.702444686532263,17,542.0
210.0,18,628.0,7.753086419753086,10.431677171325061,18,628.0,0.6952777215368761,18,628.0
215.0,18,718.0,8.348837209302326,10.443030174101805,18,718.0,0.6912190276136612,18,718.0
220.0,13,581.0,6.247311827956989,10.20654283165532,13,805.0,0.6727421004127031,13,805.0
225.0,10,489.0,5.147368421052631,10.370053696653184,10,539.0,0.7534354920318524,10,539.0
230.0,10,514.0,5.14,10.643062356778648,10,597.0,0.751750971220415,10,597.0
235.0,11,558.0,5.365384615384615,10.729474142807899,11,616.0,0.7641257641806735,11,616.0
240.0,13,619.0,5.785046728971962,11.013765049844851,13,669.0,0.7788424826945146,13,669.0
245.0,14,686.0,6.293577981651376,11.37436351031164,14,736.0,0.7585770421231133,14,736.0
250.0,17,765.0,6.594827586206897,11.233673698652119,17,815.0,0.7311212766585767,17,815.0
255.0,17,850.0,7.327586206896552,11.28225160130551,17,900.0,0.735212311129176,17,900.0
260.0,18,940.0,7.704918032786885,11.276947152279671,18,990.0,0.7359885416780736,18,990.0
265.0,20,1033.0,8.133858267716535,11.205014893232491,20,1083.0,0.7257901180933997,20,1083.0
270.0,22,1136.0,8.875,10.787075754979071,22,1186.0,0.6807389334050207,22,1186.0
275.0,25,1259.0,9.325925925925926,10.503974675818947,25,1309.0,0.6499541326270302,25,1309.0
280.0,29,1399.0,10.13768115942029,10.514000920214142,29,1449.0,0.6539367507768444,29,1449.0
285.0,30,1548.0,10.901408450704226,10.200350852863194,30,1598.0,0.6326529461757456,30,1598.0
290.0,35,1714.0,11.820689655172414,10.010776541689252,35,1764.0,0.6097031534523134,35,1764.0
